AutoDC,Name,IP,Name,
10.42.8.40,DRWeb1,10.42.8.230,
10.42.8.40,DRDB1,10.42.8.231,
10.42.8.40,DRWeb2,10.42.8.232,
10.42.8.40,DRDB2,10.42.8.233,
10.42.8.40,DRWeb3,10.42.8.234,
10.42.8.40,DRDB3,10.42.8.235,
10.42.8.40,DRWeb4,10.42.8.236,
10.42.8.40,DRDB4,10.42.8.237,
10.42.8.40,DRWeb5,10.42.8.238,
10.42.8.40,DRDB5,10.42.8.239,
10.42.8.40,DRWeb6,10.42.8.240,
10.42.8.40,DRDB6,10.42.8.241,
10.42.8.40,DRWeb7,10.42.8.242,
10.42.8.40,DRDB7,10.42.8.243,
10.42.8.40,DRWeb8,10.42.8.244,
10.42.8.40,DRDB8,10.42.8.245,
10.42.8.40,DRWeb9,10.42.8.246,
10.42.8.40,DRDB9,10.42.8.247,
10.42.8.40,DRWeb10,10.42.8.248,
10.42.8.40,DRDB10,10.42.8.249,
10.42.8.40,DRWeb11,10.42.8.250,
10.42.8.40,DRDB11,10.42.8.251,
10.42.8.40,DRWeb12,10.42.8.252,
10.42.8.40,DRDB12,10.42.8.253,
10.42.9.40,DRWeb1,10.42.9.230,
10.42.9.40,DRDB1,10.42.9.231,
10.42.9.40,DRWeb2,10.42.9.232,
10.42.9.40,DRDB2,10.42.9.233,
10.42.9.40,DRWeb3,10.42.9.234,
10.42.9.40,DRDB3,10.42.9.235,
10.42.9.40,DRWeb4,10.42.9.236,
10.42.9.40,DRDB4,10.42.9.237,
10.42.9.40,DRWeb5,10.42.9.238,
10.42.9.40,DRDB5,10.42.9.239,
10.42.9.40,DRWeb6,10.42.9.240,
10.42.9.40,DRDB6,10.42.9.241,
10.42.9.40,DRWeb7,10.42.9.242,
10.42.9.40,DRDB7,10.42.9.243,
10.42.9.40,DRWeb8,10.42.9.244,
10.42.9.40,DRDB8,10.42.9.245,
10.42.9.40,DRWeb9,10.42.9.246,
10.42.9.40,DRDB9,10.42.9.247,
10.42.9.40,DRWeb10,10.42.9.248,
10.42.9.40,DRDB10,10.42.9.249,
10.42.9.40,DRWeb11,10.42.9.250,
10.42.9.40,DRDB11,10.42.9.251,
10.42.9.40,DRWeb12,10.42.9.252,
10.42.9.40,DRDB12,10.42.9.253,