10.42.2.40,DRWeb1,10.42.2.230,DRWeb1
10.42.2.40,DRDB1,10.42.2.231,DRDB1
10.42.2.40,DRWeb2,10.42.2.232,DRWeb2
10.42.2.40,DRDB2,10.42.2.233,DRDB2
10.42.2.40,DRWeb3,10.42.2.234,DRWeb3
10.42.2.40,DRDB3,10.42.2.235,DRDB3
10.42.2.40,DRWeb4,10.42.2.236,DRWeb4
10.42.2.40,DRDB4,10.42.2.237,DRDB4
10.42.2.40,DRWeb5,10.42.2.238,DRWeb5
10.42.2.40,DRDB5,10.42.2.239,DRDB5
10.42.2.40,DRWeb6,10.42.2.240,DRWeb6
10.42.2.40,DRDB6,10.42.2.241,DRDB6
10.42.2.40,DRWeb7,10.42.2.242,DRWeb7
10.42.2.40,DRDB7,10.42.2.243,DRDB7
10.42.2.40,DRWeb8,10.42.2.244,DRWeb8
10.42.2.40,DRDB8,10.42.2.245,DRDB8
10.42.2.40,DRWeb9,10.42.2.246,DRWeb9
10.42.2.40,DRDB9,10.42.2.247,DRDB9
10.42.2.40,DRWeb10,10.42.2.248,DRWeb10
10.42.2.40,DRDB10,10.42.2.249,DRDB10
10.42.2.40,DRWeb11,10.42.2.250,DRWeb11
10.42.2.40,DRDB11,10.42.2.251,DRDB11
10.42.2.40,DRWeb12,10.42.2.252,DRWeb12
10.42.2.40,DRDB12,10.42.2.253,DRDB12
10.42.21.40,DRWeb1,10.42.21.230,DRWeb1
10.42.21.40,DRDB1,10.42.21.231,DRDB1
10.42.21.40,DRWeb2,10.42.21.232,DRWeb2
10.42.21.40,DRDB2,10.42.21.233,DRDB2
10.42.21.40,DRWeb3,10.42.21.234,DRWeb3
10.42.21.40,DRDB3,10.42.21.235,DRDB3
10.42.21.40,DRWeb4,10.42.21.236,DRWeb4
10.42.21.40,DRDB4,10.42.21.237,DRDB4
10.42.21.40,DRWeb5,10.42.21.238,DRWeb5
10.42.21.40,DRDB5,10.42.21.239,DRDB5
10.42.21.40,DRWeb6,10.42.21.240,DRWeb6
10.42.21.40,DRDB6,10.42.21.241,DRDB6
10.42.21.40,DRWeb7,10.42.21.242,DRWeb7
10.42.21.40,DRDB7,10.42.21.243,DRDB7
10.42.21.40,DRWeb8,10.42.21.244,DRWeb8
10.42.21.40,DRDB8,10.42.21.245,DRDB8
10.42.21.40,DRWeb9,10.42.21.246,DRWeb9
10.42.21.40,DRDB9,10.42.21.247,DRDB9
10.42.21.40,DRWeb10,10.42.21.248,DRWeb10
10.42.21.40,DRDB10,10.42.21.249,DRDB10
10.42.21.40,DRWeb11,10.42.21.250,DRWeb11
10.42.21.40,DRDB11,10.42.21.251,DRDB11
10.42.21.40,DRWeb12,10.42.21.252,DRWeb12
10.42.21.40,DRDB12,10.42.21.253,DRDB12
10.42.22.40,DRWeb1,10.42.22.230,DRWeb1
10.42.22.40,DRDB1,10.42.22.231,DRDB1
10.42.22.40,DRWeb2,10.42.22.232,DRWeb2
10.42.22.40,DRDB2,10.42.22.233,DRDB2
10.42.22.40,DRWeb3,10.42.22.234,DRWeb3
10.42.22.40,DRDB3,10.42.22.235,DRDB3
10.42.22.40,DRWeb4,10.42.22.236,DRWeb4
10.42.22.40,DRDB4,10.42.22.237,DRDB4
10.42.22.40,DRWeb5,10.42.22.238,DRWeb5
10.42.22.40,DRDB5,10.42.22.239,DRDB5
10.42.22.40,DRWeb6,10.42.22.240,DRWeb6
10.42.22.40,DRDB6,10.42.22.241,DRDB6
10.42.22.40,DRWeb7,10.42.22.242,DRWeb7
10.42.22.40,DRDB7,10.42.22.243,DRDB7
10.42.22.40,DRWeb8,10.42.22.244,DRWeb8
10.42.22.40,DRDB8,10.42.22.245,DRDB8
10.42.22.40,DRWeb9,10.42.22.246,DRWeb9
10.42.22.40,DRDB9,10.42.22.247,DRDB9
10.42.22.40,DRWeb10,10.42.22.248,DRWeb10
10.42.22.40,DRDB10,10.42.22.249,DRDB10
10.42.22.40,DRWeb11,10.42.22.250,DRWeb11
10.42.22.40,DRDB11,10.42.22.251,DRDB11
10.42.22.40,DRWeb12,10.42.22.252,DRWeb12
10.42.22.40,DRDB12,10.42.22.253,DRDB12
10.42.34.40,DRWeb1,10.42.34.230,DRWeb1
10.42.34.40,DRDB1,10.42.34.231,DRDB1
10.42.34.40,DRWeb2,10.42.34.232,DRWeb2
10.42.34.40,DRDB2,10.42.34.233,DRDB2
10.42.34.40,DRWeb3,10.42.34.234,DRWeb3
10.42.34.40,DRDB3,10.42.34.235,DRDB3
10.42.34.40,DRWeb4,10.42.34.236,DRWeb4
10.42.34.40,DRDB4,10.42.34.237,DRDB4
10.42.34.40,DRWeb5,10.42.34.238,DRWeb5
10.42.34.40,DRDB5,10.42.34.239,DRDB5
10.42.34.40,DRWeb6,10.42.34.240,DRWeb6
10.42.34.40,DRDB6,10.42.34.241,DRDB6
10.42.34.40,DRWeb7,10.42.34.242,DRWeb7
10.42.34.40,DRDB7,10.42.34.243,DRDB7
10.42.34.40,DRWeb8,10.42.34.244,DRWeb8
10.42.34.40,DRDB8,10.42.34.245,DRDB8
10.42.34.40,DRWeb9,10.42.34.246,DRWeb9
10.42.34.40,DRDB9,10.42.34.247,DRDB9
10.42.34.40,DRWeb10,10.42.34.248,DRWeb10
10.42.34.40,DRDB10,10.42.34.249,DRDB10
10.42.34.40,DRWeb11,10.42.34.250,DRWeb11
10.42.34.40,DRDB11,10.42.34.251,DRDB11
10.42.34.40,DRWeb12,10.42.34.252,DRWeb12
10.42.34.40,DRDB12,10.42.34.253,DRDB12